customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
DRIFT-001,Female,0,No,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),71.74,3228.3
DRIFT-002,Female,1,No,No,20,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),62.11,1242.2
DRIFT-003,Male,1,Yes,No,64,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),103.24,6607.36
DRIFT-004,Female,1,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,82.94,5059.34
DRIFT-005,Female,1,No,No,61,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),73.79,4501.19
DRIFT-006,Female,0,No,Yes,25,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,1 year,Yes,Bank transfer (automatic),40.42,1010.5
DRIFT-007,Male,1,Yes,Yes,71,Yes,No,DSL,No,No,No,No,Yes,Yes,2 year,No,Credit card (automatic),47.92,3402.32
DRIFT-008,Male,0,Yes,No,52,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month to month,No,Bank transfer (automatic),67.68,3519.36
DRIFT-009,Male,0,Yes,Yes,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Electronic check,75.29,3011.6
DRIFT-010,Male,0,Yes,No,150,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Electronic check,36.21,5431.5
DRIFT-011,Male,1,Yes,Yes,200,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,110.47,22094.0
DRIFT-012,Female,1,Yes,No,999,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),97.47,97372.53
DRIFT-013,Male,0,Yes,Yes,-5,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),41.66,-208.3
DRIFT-014,Male,0,No,No,14,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,-15.0,-210.0
DRIFT-015,Female,1,Yes,Yes,70,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),0,0.0
DRIFT-016,Male,0,Yes,No,31,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),-99.99,-3099.69
DRIFT-017,Male,1,Yes,Yes,61,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Paypal,43.13,2630.93
DRIFT-018,Female,0,No,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Cash,63.21,1264.2
DRIFT-019,Female,0,No,No,50,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Zelle,42.12,2106.0
DRIFT-020,Male,1,Yes,Yes,N/A,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),20.52,
